city_name,AQI,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3,coord.lon,coord.lat,Year,Month
Iriga City,46.23350254,272.6715228,0.035380711,1.45071066,63.88309645,6.12142132,5.39928934,8.402081218,1.118883249,123.4167,13.4167,2024,1
Isabela,49.54822335,281.4651777,0.066497462,2.341269036,66.02984772,1.766040609,4.014162437,5.737664975,1.600203046,122.9888,10.2048,2024,1
Kabankalan,50.38071066,314.1492893,0.065431472,3.481116751,56.70639594,0.975482234,5.401979695,6.861928934,3.40071066,122.8122,9.9889,2024,1
Kidapawan,51.16666667,399.5828788,0.236161616,7.227323232,38.40136364,1.602727273,7.595050505,9.893888889,10.46626263,125.0894,7.0083,2024,1
Koronadal,51.12626263,593.6171212,0.27010101,11.04611111,34.53363636,2.094545455,15.74025253,19.21308081,15.82151515,124.8469,6.5031,2024,1
La Carlota,51.80203046,253.8982234,0.034416244,1.147055838,69.47436548,1.721624365,3.491573604,5.250558376,0.462233503,122.9208,10.4233,2024,1
Lamitan,49.92385787,229.6263452,0.03035533,2.079187817,45.6415736,0.702944162,1.801472081,2.428527919,0.78284264,125.7022,6.0872,2024,1
Laoag,49.86294416,306.4058883,0.031624365,0.946649746,84.26629442,0.34213198,6.005177665,8.531522843,0.696852792,120.5936,18.1989,2024,1
Lapu-Lapu City,49.97474747,295.3510606,0.128686869,3.847929293,55.49419192,2.980555556,5.110858586,7.363535354,2.274040404,123.9494,10.3103,2024,1
Las Pi?s,52.83838384,701.440404,0.653737374,18.87767677,81.73010101,14.54868687,22.01969697,34.95217172,6.798030303,120.9828,14.4506,2024,1
Legazpi City,52.31818182,266.6920202,0.035353535,1.591767677,67.20732323,6.106969697,4.479343434,6.923030303,0.732525253,123.7333,13.1333,2024,1
Ligao,49.43434343,263.4215657,0.017676768,0.973181818,70.61636364,7.065353535,4.873080808,7.468232323,0.677727273,123.5325,13.2403,2024,1
Lipa City,52.35858586,290.6809596,0.072525253,2.940606061,78.03590909,2.137676768,4.398131313,8.578838384,1.612121212,121.1667,13.95,2024,1
Lucena,48.9040404,277.8018182,0.026464646,1.435808081,63.50267677,1.112878788,4.806313131,6.124747475,0.911161616,122.5967,10.8794,2024,1
Maasin,49.47715736,277.7040102,0.026395939,1.436142132,63.48010152,1.112639594,4.814263959,6.135837563,0.911827411,122.4347,10.8925,2024,1
Mabalacat City,51.7979798,384.1751515,0.052929293,4.161414141,65.95181818,0.830656566,7.926111111,10.43171717,3.025757576,120.5736,15.2216,2024,1
Makati City,52.87373737,1091.616111,6.989545455,27.26444444,52.19590909,23.76176768,30.60772727,44.12893939,11.67055556,121.0327,14.5503,2024,1
Malabon,50.7106599,326.3992893,0.054010152,2.752588832,79.28314721,2.724467005,9.16786802,12.42030457,1.41142132,119.9379,15.6361,2024,1
Malaybalay,51.12121212,262.6545455,0.060151515,3.377171717,26.77141414,0.462979798,3.414040404,4.593737374,2.848888889,125.0833,8.15,2024,1
Malolos,48.2893401,364.6072589,0.096142132,4.292081218,68.83614213,1.52284264,6.28248731,10.00502538,2.883350254,120.8117,14.8419,2024,1
Mandaluyong City,48.88832487,1081.433807,6.698274112,27.19756345,52.45619289,23.59675127,30.29055838,43.73299492,11.58319797,121.0409,14.5832,2024,1
Mandaue City,49.82323232,295.3510606,0.128686869,3.847929293,55.49419192,2.980555556,5.110858586,7.363535354,2.274040404,123.9333,10.3333,2024,1
Manila,50.57070707,449.6848485,0.172121212,9.280505051,68.41924242,5.518939394,8.370858586,15.39994949,4.506919192,120.9822,14.6042,2024,1
Marawi,48.86363636,414.1653535,0.16040404,8.566919192,40.19363636,2.380555556,11.1420202,13.28040404,13.92080808,124.2928,7.9986,2024,1
Mati,45.95454545,219.7514141,0.022575758,0.821717172,68.23313131,0.568636364,2.027121212,3.963989899,0.05540404,125.4708,9.7339,2024,1
Meycauayan,47.68181818,449.6848485,0.172121212,9.280505051,68.41924242,5.518939394,8.370858586,15.39994949,4.506919192,120.9608,14.7369,2024,1
Mu?z,50.80203046,379.212132,0.101725888,3.696954315,60.49746193,0.704771574,6.295685279,8.223857868,3.148680203,120.9031,15.7161,2024,1
Naga,51.51010101,246.2518182,0.009090909,0.464343434,77.11237374,2.721818182,3.917979798,7.325,0.217575758,123.1814,13.6192,2024,1
Navotas,48.45959596,449.6848485,0.172121212,9.280505051,68.41924242,5.518939394,8.370858586,15.39994949,4.506919192,120.95,14.6667,2024,1
Olongapo,51.17676768,331.8650505,0.045808081,2.716161616,70.4479798,1.741363636,6.117777778,8.309191919,1.355757576,120.2828,14.8292,2024,1
Ormoc,48.87373737,274.2782828,0.044090909,2.205808081,52.24712121,0.498585859,3.687929293,5.845707071,1.190505051,124.6075,11.0064,2024,1
Oroquieta,48.39086294,218.8673096,0.007208122,0.331269036,66.53903553,0.28893401,1.462639594,2.390203046,0.111269036,123.8044,8.4858,2024,1
Ozamiz City,52.2284264,222.6201015,0.024162437,1.025989848,56.4893401,0.333451777,1.387664975,2.122030457,0.451624365,123.8333,8.15,2024,1
Pagadian,53.52284264,283.896802,0.057309645,3.091269036,40.21949239,0.69964467,3.304822335,4.382893401,3.995431472,123.437,7.8257,2024,1
Palayan City,47.59390863,369.7238071,0.24964467,3.630913706,62.57309645,0.81751269,5.589340102,7.203553299,2.907969543,121.0833,15.55,2024,1
Panabo,48.75757576,245.2993434,0.066868687,2.551010101,44.66626263,0.630505051,1.745505051,2.84530303,0.758232323,125.6842,7.3081,2024,1
Paranaque City,49.2979798,1091.616111,6.989545455,27.26444444,52.19590909,23.76176768,30.60772727,44.12893939,11.67055556,121.0175,14.4816,2024,1
Pasig,56.85353535,1091.616111,6.989545455,27.26444444,52.19590909,23.76176768,30.60772727,44.12893939,11.67055556,121.065,14.587,2024,1
Puerto Princesa City,50.84343434,252.3796465,0.038535354,1.526262626,59.32868687,0.968636364,4.633181818,8.600656566,0.270656566,118.7333,9.7333,2024,1
Quezon City,50.68020305,493.411269,0.637411168,10.50583756,60.66873096,7.684060914,9.785228426,17.86142132,4.048375635,121.0333,14.6333,2024,1
Roxas,49.77272727,345.0814141,0.049393939,2.271969697,58.00409091,0.377878788,8.764191919,11.51045455,1.989292929,121.6201,17.1189,2024,1
Sagay,48.65151515,236.0779293,0.008383838,0.357171717,71.4210101,1.321010101,3.100606061,5.417828283,0.055151515,123.4242,10.9447,2024,1
Samal,47.93434343,343.0417677,0.085505051,3.556767677,75.42207071,2.030959596,5.889191919,9.858383838,1.989343434,120.5431,14.7678,2024,1
San Carlos,50.5177665,366.0472081,0.117309645,3.33857868,66.03664975,0.71248731,5.743248731,7.52928934,2.199137056,120.8931,15.5448,2024,1
San Fernando,49.93939394,358.0455051,0.062676768,1.677626263,74.99570707,1.123484848,10.90065657,13.90833333,1.751161616,120.3166,16.6159,2024,1
San Jose,45.65151515,330.7355556,0.042979798,1.861919192,65.44762626,0.333232323,8.330707071,11.98055556,1.557979798,121.8712,17.8927,2024,1
San Jose del Monte,46.72727273,293.2435859,0.058989899,1.996414141,71.12232323,0.949040404,4.208939394,7.293282828,1.458131313,121.0453,14.8139,2024,1
San Juan,48.20812183,319.4859898,0.027664975,1.21035533,75.3628934,0.358781726,5.765685279,7.773705584,1.59071066,120.4583,17.7422,2024,1
San Pablo,46.00505051,425.004596,0.130808081,6.541717172,67.24717172,2.656363636,7.575808081,11.65085859,3.512828283,120.6197,14.9696,2024,1
San Pedro,50.18181818,470.8746465,0.197474747,5.666565657,49.03393939,0.882323232,14.09045455,17.67,7.807878788,121.8833,17.2,2024,1
Santa Rosa,52.36363636,366.1708586,0.117070707,3.340959596,65.99575758,0.713787879,5.746919192,7.535555556,2.204040404,120.9378,15.4238,2024,1
Santiago,49.93939394,311.8886869,0.029191919,0.994646465,70.15580808,0.417171717,5.893535354,7.615353535,1.541565657,120.4449,17.2939,2024,1
Santo Tomas,51.25757576,338.0517172,0.043282828,2.24510101,61.29787879,0.391515152,8.428787879,11.36969697,1.692878788,121.7645,17.3997,2024,1
Silay City,50.64141414,245.9734848,0.015353535,0.695656566,70.55419192,1.525858586,3.642676768,5.411515152,0.21540404,122.9667,10.8,2024,1
Sipalay,51.96446701,264.5727411,0.034873096,1.504923858,66.79497462,1.154923858,3.683705584,4.894010152,1.032385787,122.4042,9.7519,2024,1
Surigao City,49.31313131,219.7514141,0.022575758,0.821717172,68.23313131,0.568636364,2.027121212,3.963989899,0.05540404,125.5,9.75,2024,1
Tabaco,48.52525253,253.7542929,0.02520202,1.311969697,64.33075758,5.718989899,4.136161616,6.910656566,0.772171717,123.7336,13.3586,2024,1
Tabuk,52.28282828,302.5831313,0.018030303,1.13469697,59.80252525,0.238838384,6.995606061,9.72979798,1.034393939,121.4443,17.4189,2024,1
Tacloban City,50.8030303,243.630101,0.022121212,1.159040404,55.40550505,0.354242424,2.971313131,5.161363636,0.816565657,125,11.25,2024,1
Tacurong,47.1969697,473.7412121,0.233181818,6.323535354,31.02954545,0.817929293,11.2230303,13.3310101,6.583030303,124.6764,6.6925,2024,1
Tagaytay City,50.5786802,333.3295939,0.230050761,7.961522843,75.49431472,9.302893401,6.361472081,10.82299492,1.67035533,120.9337,14.1059,2024,1
Taguig,48.74747475,1091.616111,6.989545455,27.26444444,52.19590909,23.76176768,30.60772727,44.12893939,11.67055556,121.0792,14.5243,2024,1
Talisay,51.8071066,248.4926904,0.006395939,0.424771574,78.65467005,0.236649746,4.037411168,8.307309645,0.092994924,122.9226,14.1343,2024,1
Tanauan,51.56852792,316.5554315,0.214720812,6.837563452,75.68898477,8.342944162,5.44822335,10.26091371,1.609035533,121.1498,14.0863,2024,1
Tandag,49.39593909,222.7388832,0.007258883,0.733147208,47.4006599,0.231370558,2.111472081,3.975989848,0.596192893,126.1986,9.0783,2024,1
Tangub,54.5959596,245.9734848,0.015353535,0.695656566,70.55419192,1.525858586,3.642676768,5.411515152,0.21540404,122.9306,10.6339,2024,1
Tanjay,52.56060606,241.2870202,0.024242424,1.147424242,65.00388889,0.945656566,3.237020202,4.249949495,0.688838384,123.1583,9.5153,2024,1
Tarlac City,50.73737374,406.3766667,0.082020202,4.963585859,64.04959596,0.966464646,8.586818182,11.10444444,4.364292929,120.5986,15.4889,2024,1
Tayabas,47.44670051,264.3862944,0.042385787,1.484974619,74.11883249,1.131472081,3.867309645,7.039898477,0.472538071,121.5911,14.0289,2024,1
Toledo City,47.17676768,251.7222222,0.031111111,1.576212121,64.5279798,1.312575758,3.603333333,5.966515152,1.493181818,123.6333,10.3833,2024,1
Tuguegarao,49.00505051,358.4669697,0.092020202,2.332474747,62.26257576,0.408131313,9.64969697,13.26848485,2.385050505,121.7269,17.6131,2024,1
Urdaneta,51.19191919,497.780101,0.292727273,8.507474747,62.2910101,2.241414141,12.73126263,15.35752525,5.946464646,120.5711,15.9761,2024,1
Valencia,51.19191919,255.490202,0.022979798,1.268939394,62.30964646,0.431010101,2.869545455,4.748080808,0.748181818,124.5725,11.1089,2024,1
Valenzuela,51.65151515,449.6848485,0.172121212,9.280505051,68.41924242,5.518939394,8.370858586,15.39994949,4.506919192,120.9667,14.7,2024,1
Victorias,47.20707071,241.8432828,0.010959596,0.457020202,71.48242424,1.720454545,3.590909091,5.558383838,0.121969697,123.0778,10.9,2024,1
Vigan,51.63959391,306.9655838,0.021370558,0.795685279,80.09664975,0.374974619,5.717664975,8.005888325,0.841725888,120.3869,17.5747,2024,1
Zamboanga City,50.61111111,369.9637374,0.179646465,9.686363636,40.83717172,2.494646465,4.898535354,5.76510101,5.427525253,122.0696,6.9135,2024,1
Alaminos,50.12446352,330.1482833,0.182403433,-39.69154506,82.48218884,-39.35862661,11.26785408,15.44356223,2.406180258,119.9811,16.1561,2024,2
Angeles City,49.02155172,413.0896983,0.172758621,-36.42107759,60.9774569,-40.05581897,8.743922414,12.64008621,4.116206897,120.5833,15.15,2024,2
Antipolo,52.59307359,305.7904329,0.076233766,-41.10272727,58.16692641,-42.8269697,3.892337662,5.780995671,1.72978355,121.19,15.6181,2024,2
Bacolod,51.64782609,237.249913,0.015173913,-42.82734783,68.059,-40.9096087,3.547782609,6.86973913,0.282826087,123.5085,12.2285,2024,2
Bacoor,50.23809524,697.4689177,0.973506494,-23.27480519,80.46948052,-26.22160173,19.86619048,35.42051948,7.921645022,120.929,14.459,2024,2
Bago City,49.52838428,261.4979476,0.05510917,-42.17978166,66.09318777,-42.07772926,3.358471616,6.412532751,0.78930131,122.8333,10.5333,2024,2
Baguio,48.91810345,426.2684052,0.068663793,-38.50487069,60.25568966,-40.75112069,15.92956897,19.21810345,4.167931034,120.5931,16.4164,2024,2
Bais,53.37339056,244.4017597,0.029914163,-41.77077253,64.08330472,-41.92334764,2.908841202,5.012532189,0.754935622,123.1228,9.5911,2024,2
Balanga,51.66521739,356.4697826,0.125347826,-39.29126087,77.45356522,-40.2833913,6.969782609,13.31626087,2.556782609,120.5361,14.6761,2024,2
Batac City,49.48695652,318.8243043,0.036608696,-42.07943478,76.40226087,-42.82282609,9.116565217,12.1483913,1.633173913,120.5649,18.0554,2024,2
Batangas City,49.14718615,289.0506061,0.262943723,-35.39930736,69.82398268,-36.36489177,4.575108225,8.217272727,1.920562771,121.05,13.75,2024,2
Bayawan,47.78695652,246.987087,0.028608696,-42.298,62.95691304,-42.68817391,2.684608696,4.578565217,0.948478261,122.8011,9.3636,2024,2
Baybay,50.55172414,243.2821121,0.007198276,-42.78508621,76.00896552,-37.59711207,3.269353448,6.843146552,0.113663793,123.7135,13.4083,2024,2
Bayugan,54.57939914,257.7104292,0.044935622,-40.61901288,29.38055794,-42.32927039,3.484549356,5.654678112,1.100729614,125.7675,8.7561,2024,2
Bi?n,49.25108225,355.1576623,0.487662338,-33.55545455,74.65645022,-29.05103896,5.79025974,11.47285714,2.970909091,121.0807,14.3427,2024,2
Bislig,52.06926407,265.8371429,0.051818182,-41.00012987,57.20995671,-42.68177489,3.212900433,7.458614719,0.907359307,125.0336,11.0725,2024,2
Bogo,49.91845494,242.102618,0.018369099,-42.17094421,64.147897,-42.2995279,2.6627897,6.287124464,0.367253219,124.0055,11.0517,2024,2
Borongan,49.73390558,226.8095708,0.009613734,-42.50532189,64.05429185,-42.64540773,2.716051502,7.986094421,0.04527897,125.4319,11.6081,2024,2
Butuan,50.92672414,268.8781466,0.02987069,-41.27418103,41.64982759,-42.60801724,3.080215517,5.153836207,0.878577586,125.5436,8.9492,2024,2
Cabadbaran,51.36051502,263.5051931,0.03304721,-41.33055794,45.68223176,-42.39291845,2.976566524,5.144806867,0.959828326,125.5344,9.1236,2024,2
Cabanatuan City,48.95258621,360.9934914,0.15737069,-39.30431034,62.76616379,-42.24521552,5.587241379,7.995,2.661767241,120.9667,15.4833,2024,2
Cabuyao,53.32327586,355.1374569,0.487025862,-33.35211207,74.4887931,-28.85646552,5.776724138,11.45211207,2.973534483,121.1262,14.2726,2024,2
Cadiz,51.15879828,239.3016738,0.010901288,-42.51523605,68.32437768,-41.95081545,2.896480687,6.352317597,0.198283262,123.2856,10.9506,2024,2
